Size: 1 KB, Latency: 2.09236 ns/access, Stride: 64 B
Size: 16 KB, Latency: 2.09089 ns/access, Stride: 64 B
Size: 32 KB, Latency: 2.08368 ns/access, Stride: 64 B
Size: 48 KB, Latency: 5.01997 ns/access, Stride: 64 B
Size: 64 KB, Latency: 5.00237 ns/access, Stride: 64 B
Size: 80 KB, Latency: 5.01674 ns/access, Stride: 64 B
Size: 96 KB, Latency: 5.02855 ns/access, Stride: 64 B
Size: 112 KB, Latency: 5.0056 ns/access, Stride: 64 B
Size: 128 KB, Latency: 5.05625 ns/access, Stride: 64 B
Size: 256 KB, Latency: 7.7372 ns/access, Stride: 64 B
Size: 512 KB, Latency: 19.562 ns/access, Stride: 64 B
Size: 1024 KB, Latency: 19.2942 ns/access, Stride: 64 B
Size: 2048 KB, Latency: 19.1629 ns/access, Stride: 64 B
Size: 4096 KB, Latency: 19.089 ns/access, Stride: 64 B
Size: 8192 KB, Latency: 19.0468 ns/access, Stride: 64 B
Size: 16384 KB, Latency: 19.0342 ns/access, Stride: 64 B
Size: 32768 KB, Latency: 22.7469 ns/access, Stride: 64 B
Size: 65536 KB, Latency: 84.0609 ns/access, Stride: 64 B
