Size: 1 KB, Latency: 2.09227 ns/access, Stride: 512 B
Size: 16 KB, Latency: 2.0834 ns/access, Stride: 512 B
Size: 32 KB, Latency: 2.0908 ns/access, Stride: 512 B
Size: 48 KB, Latency: 5.00411 ns/access, Stride: 512 B
Size: 64 KB, Latency: 5.01848 ns/access, Stride: 512 B
Size: 80 KB, Latency: 5.00515 ns/access, Stride: 512 B
Size: 96 KB, Latency: 5.00508 ns/access, Stride: 512 B
Size: 112 KB, Latency: 5.03141 ns/access, Stride: 512 B
Size: 128 KB, Latency: 5.00775 ns/access, Stride: 512 B
Size: 256 KB, Latency: 14.823 ns/access, Stride: 512 B
Size: 512 KB, Latency: 20.7136 ns/access, Stride: 512 B
Size: 1024 KB, Latency: 21.5433 ns/access, Stride: 512 B
Size: 2048 KB, Latency: 20.5285 ns/access, Stride: 512 B
Size: 4096 KB, Latency: 19.8033 ns/access, Stride: 512 B
Size: 8192 KB, Latency: 19.3951 ns/access, Stride: 512 B
Size: 16384 KB, Latency: 19.2175 ns/access, Stride: 512 B
Size: 32768 KB, Latency: 26.9696 ns/access, Stride: 512 B
Size: 65536 KB, Latency: 81.1026 ns/access, Stride: 512 B
