Size: 1 KB, Latency: 2.09092 ns/access, Stride: 32 B
Size: 16 KB, Latency: 2.08423 ns/access, Stride: 32 B
Size: 32 KB, Latency: 2.13627 ns/access, Stride: 32 B
Size: 48 KB, Latency: 3.73699 ns/access, Stride: 32 B
Size: 64 KB, Latency: 4.1371 ns/access, Stride: 32 B
Size: 80 KB, Latency: 4.3611 ns/access, Stride: 32 B
Size: 96 KB, Latency: 4.55344 ns/access, Stride: 32 B
Size: 112 KB, Latency: 4.55491 ns/access, Stride: 32 B
Size: 128 KB, Latency: 4.63516 ns/access, Stride: 32 B
Size: 256 KB, Latency: 7.95414 ns/access, Stride: 32 B
Size: 512 KB, Latency: 18.083 ns/access, Stride: 32 B
Size: 1024 KB, Latency: 21.787 ns/access, Stride: 32 B
Size: 2048 KB, Latency: 20.5261 ns/access, Stride: 32 B
Size: 4096 KB, Latency: 19.7742 ns/access, Stride: 32 B
Size: 8192 KB, Latency: 19.3983 ns/access, Stride: 32 B
Size: 16384 KB, Latency: 19.3728 ns/access, Stride: 32 B
Size: 32768 KB, Latency: 32.7552 ns/access, Stride: 32 B
Size: 65536 KB, Latency: 67.3579 ns/access, Stride: 32 B
