Size: 1 KB, Latency: 2.09104 ns/access, Stride: 128 B
Size: 16 KB, Latency: 2.08351 ns/access, Stride: 128 B
Size: 32 KB, Latency: 2.09875 ns/access, Stride: 128 B
Size: 48 KB, Latency: 5.01247 ns/access, Stride: 128 B
Size: 64 KB, Latency: 5.01923 ns/access, Stride: 128 B
Size: 80 KB, Latency: 5.00729 ns/access, Stride: 128 B
Size: 96 KB, Latency: 5.03221 ns/access, Stride: 128 B
Size: 112 KB, Latency: 5.02599 ns/access, Stride: 128 B
Size: 128 KB, Latency: 5.01399 ns/access, Stride: 128 B
Size: 256 KB, Latency: 13.3336 ns/access, Stride: 128 B
Size: 512 KB, Latency: 20.0415 ns/access, Stride: 128 B
Size: 1024 KB, Latency: 21.4368 ns/access, Stride: 128 B
Size: 2048 KB, Latency: 20.8659 ns/access, Stride: 128 B
Size: 4096 KB, Latency: 19.9417 ns/access, Stride: 128 B
Size: 8192 KB, Latency: 19.4649 ns/access, Stride: 128 B
Size: 16384 KB, Latency: 19.2515 ns/access, Stride: 128 B
Size: 32768 KB, Latency: 27.8974 ns/access, Stride: 128 B
Size: 65536 KB, Latency: 83.6776 ns/access, Stride: 128 B
